Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Torsplan 8,Vasastan/Hagastaden,Stockholms kommun,2020-10-01,8525000,8095000,Lägenhet,Bostadsrätt,4 ,84 ,True,4 av 36,True,2019,4861,
"Torsplan 10, plan 12",Hagastaden Vasastan,Stockholms kommun,2020-09-26,8800000,8990000,Lägenhet,Bostadsrätt,3 ,92 ,True,12 av 34,True,2018,5241,
Torsplan 10,Vasastan,Stockholms kommun,2020-09-25,11100000,10995000,Lägenhet,Bostadsrätt,4 ,92 ,True,,,2020,5240,8400
"Torsplan 10, vån 13",Vasastan/Hagastaden,Stockholms kommun,2020-09-23,12500000,13495000,Lägenhet,Bostadsrätt,"3,5 ",88 ,True,13 av 34,True,2020,5316,
"Torsplan 8, vån 11",Vasastan/Hagastaden,Stockholms kommun,2020-09-23,6585000,6495000,Lägenhet,Bostadsrätt,2 ,58 ,True,11 av 35,True,2019,3621,
"Torsplan 8, vån 18",Vasastan/Hagastaden,Stockholms kommun,2020-09-17,10050000,9995000,Lägenhet,Bostadsrätt,4 ,91 ,True,18 av 35,True,2019,5176,
"Torsplan 8, våning 11",Vasastan Hagastaden,Stockholms kommun,2020-09-16,6550000,6795000,Lägenhet,Bostadsrätt,2 ,57 ,True,11 av 36,True,2019,3593,
"Torsplan 10, vån 21",Vasastan/Hagastaden,Stockholms kommun,2020-09-01,10650000,10695000,Lägenhet,Bostadsrätt,3 ,87 ,True,,,2018,5056,
"Torsplan 8, vån 20",Vasastaden,Stockholms kommun,2020-09-01,6725000,6725000,Lägenhet,Bostadsrätt,2 ,62 ,True,20 av 35,True,2018,3807,
"Torsplan 8, vån 15",Vasastan/Hagastaden,Stockholms kommun,2020-08-04,10500000,10595000,Lägenhet,Bostadsrätt,4 ,85 ,True,,,2019,4881,
Torsplan 10,Vasastan,Stockholms kommun,2020-07-10,9975000,9975000,Lägenhet,Bostadsrätt,4 ,93 ,True,,,,5287,
"Torsplan 8, vån 6",Vasastan/Hagastaden,Stockholms kommun,2020-06-26,5300000,5295000,Lägenhet,Bostadsrätt,2 ,57 ,True,,,2019,3569,
"Torsplan 8, 9tr",Vasastan - Hagastaden,Stockholms kommun,2020-06-15,6150000,5995000,Lägenhet,Bostadsrätt,2 ,58 ,True,9,True,2019,3621,4200
"Torsplan 8, vån 21",Vasastan/Hagastaden,Stockholms kommun,2020-06-12,6650000,6695000,Lägenhet,Bostadsrätt,2 ,62 ,True,,,2019,3834,
"Torsplan 8, vån 27",Vasastan/Hagastaden,Stockholms kommun,2020-05-30,11600000,11600000,Lägenhet,Bostadsrätt,4 ,85 ,True,,,2019,4910,
"Torsplan 8, vån 15",Torsplan,Stockholms kommun,2020-05-08,6900000,6900000,Lägenhet,Bostadsrätt,2 ,57 ,True,,,2019,3593,
"Torsplan 8, vån 5",Vasastan/Hagastaden,Stockholms kommun,2020-04-24,5780000,5780000,Lägenhet,Bostadsrätt,2 ,62 ,True,,,2019,3829,
"Torsplan 8, vån 24",Vasastan/Hagastaden,Stockholms kommun,2020-04-24,10400000,10400000,Lägenhet,Bostadsrätt,4 ,86 ,,,,2018,4937,
"Torsplan 8, vån 15",Vasastaden,Stockholms kommun,2020-03-23,8950000,8950000,Lägenhet,Bostadsrätt,3 ,79 ,True,,,2018,4611,
