Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Cedergrensvägen 49, vån 2",Midsommarkransen,Stockholms kommun,2021-03-31,3760000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,2 av 3,False,1939,2980,6387
Radiusbacken 23,Midsommarkransen,Stockholms kommun,2021-03-31,5200000,4450000,Lägenhet,Bostadsrätt,2 ,63 ,False,4 av 4,True,1938,2989,4820
"Fastlagsvägen 72, Vån 1 av 3",Hägersten,Stockholms kommun,2021-03-29,3500000,2745000,Lägenhet,Bostadsrätt,2 ,54 ,True,1 av 3,False,1943,3470,3900
"Midsommarvägen 14, 2tr",Midsommarkransen,Stockholms kommun,2021-03-27,3125000,2695000,Lägenhet,Bostadsrätt,2 ,44 ,False,2 av 3,False,1939,2670,4600
Tegelbruksvägen 22,Midsommarkransen,Stockholms kommun,2021-03-23,3840000,3150000,Lägenhet,Bostadsrätt,2 ,44 ,False,2 av 3,False,1912,3389,7100
Cedergrensvägen 37,Telefonplan - Midsommarkransen,Stockholms kommun,2021-03-23,3610000,2895000,Lägenhet,Bostadsrätt,2 ,51 ,False,3 av 3,False,1939,2981,10276
Midsommarvägen 31,Midsommarkransen,Stockholms kommun,2021-03-17,3500000,2695000,Lägenhet,Bostadsrätt,2 ,48 ,True,4 av 4,False,1946,2456,8200
LM Ericssons Väg 3,Telefonplan - Midsommarkransen,Stockholms kommun,2021-03-17,2810000,2295000,Lägenhet,Bostadsrätt,2 ,35 ,False,3 av 3,False,1938,2235,4000
"Valborgsmässovägen 32, 3 tr",Midsommarkransen/Telefonplan,Stockholms kommun,2021-03-16,2800000,2195000,Lägenhet,Bostadsrätt,2 ,"34,5 ",False,3 av 3,False,1939,2291,7848
"Valborgsmässovägen 8, vån 3 av 3",Midsommarkransen/Telefonplan,Stockholms kommun,2021-03-16,2885000,2395000,Lägenhet,Bostadsrätt,2 ,"34,5 ",False,3 av 3,False,1939,2291,3300
Cedergrensvägen 55,Midsommarkransen,Stockholms kommun,2021-03-11,2850000,2850000,Lägenhet,Bostadsrätt,2 ,"34,5 ",False,2 av 3,False,1939,2291,2500
"Midsommarvägen 17, vån 2",Midsommarkransen,Stockholms kommun,2021-03-11,3600000,2995000,Lägenhet,Bostadsrätt,2 ,53 ,True,2 av 4,False,1944,3772,4400
"Midsommarvägen 14, vån 3 av 3",Midsommarkransen,Stockholms kommun,2021-03-07,2900000,2495000,Lägenhet,Bostadsrätt,2 ,38 ,False,3 av 3,False,1939,2306,6000
"Radiusbacken 6, Vån 2",Midsommarkransen/Telefonplan,Stockholms kommun,2021-03-07,3665000,3195000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 5,True,2011,3143,3900
"Midsommargränd 4, 2 tr",Midsommarkransen,Stockholms kommun,2021-03-04,4300000,3595000,Lägenhet,Bostadsrätt,2 ,56 ,True,2 av 4,True,2009,2315,4500
"Telefonvägen 33, 2 tr",Midsommarkransen/Telefonplan,Stockholms kommun,2021-02-24,4550000,3995000,Lägenhet,Bostadsrätt,2 ,68 ,True,2 av 4,True,1993,3726,7000
Midsommarvägen 40,Midsommarkransen,Stockholms kommun,2021-02-22,3125000,2495000,Lägenhet,Bostadsrätt,2 ,40 ,False,2 av 3,False,1944,2941,7644
Midsommarvägen 56,Midsommarkransen,Stockholms kommun,2021-02-18,2995000,2995000,Lägenhet,Bostadsrätt,2 ,41 ,True,1,False,1944,2941,1600
