Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Postiljonsvägen 29,Svedmyra,Stockholms kommun,2021-05-28,3375000,2995000,Lägenhet,Bostadsrätt,2 ,54 ,True,4 av 4,False,1948,2787,4200
Sockenvägen 369,Enskede - Gamla Enskede,Stockholms kommun,2021-05-28,2600000,2250000,Lägenhet,Bostadsrätt,2 ,40 ,False,1 av 3,False,1942,2317,4044
"Frimärksvägen 1, 2 TR",Svedmyra,Enskede,2021-05-27,2400000,1995000,Lägenhet,Bostadsrätt,2 ,38 ,False,2 av 3,True,1949,2939,3480
"Glasmålarvägen 2, 3tr",Gamla Enskede,Stockholms kommun,2021-05-20,2560000,2100000,Lägenhet,Bostadsrätt,2 ,35 ,False,3 av 3,False,1943,2231,8680
Odelbergsvägen 21,Enskede Gård,Stockholms kommun,2021-05-19,2700000,2350000,Lägenhet,Bostadsrätt,2 ,49 ,True,2 av 3,True,1932,2895,4200
Gamla Tyresövägen 351C,Kärringstan/Enskededalen,Stockholms kommun,2021-05-19,3850000,3290000,Lägenhet,Bostadsrätt,2 ,68 ,True,0,True,2012,2860,15132
Kyrkogårdsvägen 137,Enskede/ Enskededalen,Stockholms kommun,2021-05-13,3000000,2675000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,3 av 3,True,1986,5459,4800
Brevvägen 7,Svedmyra/enskede,Stockholms kommun,2021-05-07,2875000,2495000,Lägenhet,Bostadsrätt,2 ,48 ,True,2 av 3,True,1949,2924,6520
Brevvägen 9,Svedmyra/enskede,Stockholms kommun,2021-05-05,3010000,2495000,Lägenhet,Bostadsrätt,2 ,47 ,True,3 av 3,True,1949,2863,7035
Sockenvägen 383,Enskede - Gamla Enskede,Stockholms kommun,2021-05-05,2540000,2250000,Lägenhet,Bostadsrätt,2 ,41 ,False,1 av 3,False,1939,2703,5100
Jönåkersvägen 9,Svedmyra/enskede,Stockholms kommun,2021-05-04,3000000,2695000,Lägenhet,Bostadsrätt,2 ,57 ,True,2 av 3,False,1950,2940,6900
Dalgränd 6,Enskededalen,Stockholms kommun,2021-05-04,3375000,2950000,Lägenhet,Bostadsrätt,2 ,65 ,True,1 av 4,True,1981,2200,11224
Sofielundsvägen 14,Enskededalen,Stockholms kommun,2021-04-30,3770000,2795000,Lägenhet,Bostadsrätt,2 ,"53,6 ",True,2 av 3,False,1943,2995,5400
"Guldsmedsvägen 9, 3tr",Enskededalen,Stockholms kommun,2021-04-29,2850000,2625000,Lägenhet,Bostadsrätt,2 ,48 ,True,3 av 3,False,1947,3176,5500
Handelsvägen 14,Gamla Enskede,Stockholms kommun,2021-04-28,4860000,3750000,Lägenhet,Bostadsrätt,2 ,65 ,False,3 av 3,False,1909,3328,6700
Jönåkersvägen 1,Svedmyra,Stockholms kommun,2021-04-22,2960000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 3,False,1950,2844,6000
Dalgränd 56,Enskededalen,Stockholms kommun,2021-04-21,2735000,2395000,Lägenhet,Bostadsrätt,2 ,65 ,True,2 av 3,True,1981,4196,4200
Oppundavägen 25,Svedmyra/enskede,Stockholms kommun,2021-04-21,3000000,2495000,Lägenhet,Bostadsrätt,2 ,58 ,True,3 av 3,False,1949,3612,6600
Enskedevägen 166,Svedmyra,Stockholms kommun,2021-04-21,3200000,2775000,Lägenhet,Bostadsrätt,2 ,52 ,True,3 av 4,True,2018,3133,4400
Enskedevägen 166,Svedmyra,Stockholms kommun,2021-04-14,3800000,3575000,Lägenhet,Bostadsrätt,2 ,67 ,True,4 av 4,True,2018,3752,6200
Oppundavägen 35,Svedmyra,Stockholms kommun,2021-04-14,2875000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,0,True,1950,3431,6192
Stockholmsvägen 27,Enskede,Stockholms kommun,2021-04-01,3650000,3300000,Lägenhet,Bostadsrätt,2 ,48 ,False,0,False,1910,3081,9600
Odelbergsvägen 22,Enskede Gård/Enskede,Stockholms kommun,2021-03-26,2870000,2595000,Lägenhet,Bostadsrätt,2 ,"41,5 ",True,3 av 3,False,1939,2680,4596
Kyrkogårdsvägen 137,Enskede/ Enskededalen,Stockholms kommun,2021-03-23,3250000,2750000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,3 av 3,True,1986,5459,4000
Oppundavägen 35,Svedmyra,Stockholms kommun,2021-03-15,2900000,2495000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 4,True,1950,3431,5400
Handelsvägen 20,Gamla Enskede,Stockholms kommun,2021-03-12,5000000,4795000,Lägenhet,Bostadsrätt,2 ,65 ,True,3 av 3,False,1929,3738,9600
Fågelkärrsvägen 2D,Gamla Enskede,Stockholms kommun,2021-03-10,5100000,4695000,Lägenhet,Andel i bostadsförening,2 ,65 ,,3 av 3,False,1927,2958,9252
Lindevägen 50,Enskede Gård,Stockholms kommun,2021-03-02,3300000,2795000,Lägenhet,Bostadsrätt,2 ,72 ,True,2 av 5,True,1989,4551,5580
"Enskedevägen 172, 3 tr",Svedmyra/Enskede,Stockholms kommun,2021-02-23,3200000,2895000,Lägenhet,Bostadsrätt,2 ,50 ,True,3 av 3,True,2018,3059,2400
Stora Gungans väg 5,Gamla Enskede,Stockholms kommun,2021-02-20,2900000,2495000,Lägenhet,Bostadsrätt,2 ,42 ,False,,,1913,2460,3480
Guldsmedsvägen 5,Enskede,Stockholms kommun,2021-02-19,2875000,2695000,Lägenhet,Bostadsrätt,2 ,48 ,True,1 av 3,False,1947,3176,6720
Oppundavägen 35,Svedmyra,Stockholms kommun,2021-02-10,2850000,2475000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 4,False,1949,3431,5600
Oppundavägen 27,Svedmyra/enskede,Stockholms kommun,2021-01-26,2600000,2495000,Lägenhet,Bostadsrätt,2 ,58 ,True,1 av 3,False,1949,3612,7200
Nynäsvägen 345,Gamla Enskede,Stockholms kommun,2021-01-25,2950000,2595000,Lägenhet,Bostadsrätt,2 ,42 ,,2 av 3,False,1930,2743,4392
Nynäsvägen 375B,Gamla Enskede,Stockholms kommun,2021-01-15,2450000,2195000,Lägenhet,Bostadsrätt,2 ,45 ,False,2 av 3,False,1947,3318,4200
Enskedevägen 166,Svedmyra,Stockholms kommun,2021-01-13,3820000,3495000,Lägenhet,Bostadsrätt,2 ,67 ,True,2 av 3,True,2018,3752,7300
Dalgårdsvägen 4,Enskededalen,Stockholms kommun,2021-01-12,3700000,3150000,Lägenhet,Bostadsrätt,2 ,53 ,False,2 av 3,False,1921,3137,7000
Nynäsvägen 323,Gamla Enskede,Stockholms kommun,2021-01-06,4100000,3295000,Lägenhet,Bostadsrätt,2 ,"66,9 ",False,2 av 3,False,1913,3823,7042
Brevvägen 3,Svedmyra,Stockholms kommun,2020-12-18,2600000,2250000,Lägenhet,Bostadsrätt,2 ,40 ,True,2 av 3,True,1949,2437,7500
Lindevägen 50,Enskede Gård,Stockholms kommun,2020-12-10,3150000,2695000,Lägenhet,Bostadsrätt,2 ,62 ,True,2 av 4,True,1989,4001,6000
Stora Gungans väg 5,Gamla Enskede,Stockholms kommun,2020-12-02,4230000,3495000,Lägenhet,Bostadsrätt,2 ,48 ,False,1 av 2,False,1913,2835,4700
Stockholmsvägen 19,Enskede - Gamla Enskede,Stockholms kommun,2020-11-20,6300000,6300000,Lägenhet,Bostadsrätt,2 ,"72,4 ",True,2 av 3,False,1909,2840,4800
"Oppundavägen 11, 3tr",Enskede - Svedmyra,Stockholms kommun,2020-11-04,2750000,2750000,Lägenhet,Bostadsrätt,2 ,56 ,True,3 av 3,False,1949,3236,4800
Nynäsvägen 361,Enskede - Gamla Enskede,Stockholms kommun,2020-10-30,3500000,2995000,Lägenhet,Bostadsrätt,2 ,57 ,False,2 av 3,True,1929,3365,6900
