Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Fyrskeppsvägen 34,Kärrtorp,Stockholms kommun,2021-04-16,2750000,2495000,Lägenhet,Bostadsrätt,2 ,61 ,True,0,False,1949,3875,4800
Lödösevägen 5,Hammarbyhöjden,Stockholms kommun,2021-04-15,2920000,2475000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1938,3183,4260
Kalmgatan 6,Hammarbyhöjden,Stockholms kommun,2021-04-14,2900000,2195000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 3,False,1936,3416,8124
"Lidköpingsvägen 41, 2 tr",Hammarbyhöjden,Stockholms kommun,2021-04-12,3100000,2850000,Lägenhet,Bostadsrätt,2 ,"46,5 ",True,2 av 3,False,1942,3613,4860
Hjovägen 8,Hammarbyhöjden,Stockholms kommun,2021-04-11,2500000,2350000,Lägenhet,Bostadsrätt,2 ,42 ,False,,,1942,3076,8868
Olaus Magnus väg 60,Hammarbyhöjden,Stockholms kommun,2021-04-09,3500000,2750000,Lägenhet,Bostadsrätt,2 ,50 ,True,3 av 3,False,1937,3092,5040
Hässleholmsvägen 7,Björkhagen,Stockholms kommun,2021-04-07,3725000,3195000,Lägenhet,Bostadsrätt,2 ,54 ,True,5 av 6,True,1947,3061,5128
"Kolbäcksgränd 5, 2tr",Bagarmossen,Stockholms kommun,2021-04-06,3090000,2600000,Lägenhet,Bostadsrätt,2 ,58 ,True,2 av 3,False,1954,3874,5700
Fyrskeppsvägen 83,Kärrtorp,Stockholms kommun,2021-04-06,2890000,2350000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 3,False,1949,3905,6672
Fogdevägen 41,Bagarmossen,Stockholms kommun,2021-04-02,2870000,2870000,Lägenhet,Bostadsrätt,2 ,48 ,True,2 av 4,True,2008,3301,7600
Finn Malmgrens väg 40,Hammarbyhöjden,Stockholms kommun,2021-04-02,2700000,2395000,Lägenhet,Bostadsrätt,2 ,42 ,True,2 av 3,False,1939,2444,7956
Pilvingegatan 69,Skarpnäck,Stockholms kommun,2021-04-01,2330000,1995000,Lägenhet,Bostadsrätt,2 ,"44,5 ",True,,,2005,4030,3008
Huvudskärsvägen 5,Kärrtorp,Stockholms kommun,2021-03-31,3380000,3380000,Lägenhet,Bostadsrätt,2 ,57 ,True,1 av 3,False,1950,3456,3500
Fyrvaktarkroken 48,Blåsut,Stockholms kommun,2021-03-31,3900000,3495000,Lägenhet,Bostadsrätt,2 ,62 ,True,2 av 6,True,2009,3554,6000
"Horisontvägen 87B, 3tr",Skarpnäck,Stockholms kommun,2021-03-30,2510000,2150000,Lägenhet,Bostadsrätt,2 ,68 ,True,3 av 3,True,1989,4594,5700
"Voxnegränd 9, 1 vån",Bagarmossen,Stockholms kommun,2021-03-30,2400000,2150000,Lägenhet,Bostadsrätt,2 ,55 ,True,1 av 3,False,1954,4059,5760
Glidflyktsgatan 9,Skarpnäck,Stockholms kommun,2021-03-28,2200000,2200000,Lägenhet,Bostadsrätt,2 ,57 ,True,2 av 4,True,1985,3970,3600
Finn Malmgrens Väg 112,Hammarbyhöjden,Stockholms kommun,2021-03-27,3050000,2595000,Lägenhet,Bostadsrätt,2 ,41 ,True,3 av 3,False,1943,2740,7740
Axvallsvägen 49,Björkhagen,Stockholms kommun,2021-03-26,4100000,3150000,Lägenhet,Bostadsrätt,2 ,59 ,True,1 av 3,False,1946,2842,8280
Olaus Magnus väg 19,Hammarbyhöjden,Stockholms kommun,2021-03-23,2930000,2250000,Lägenhet,Bostadsrätt,2 ,43 ,False,2 av 3,False,1936,3096,4500
Sofielundsvägen 15,Blåsut,Stockholms kommun,2021-03-20,4050000,3695000,Lägenhet,Bostadsrätt,2 ,"62,5 ",True,5 av 5,True,2013,3698,4800
"Läckövägen 36, 3 tr",Hammarbyhöjden,Stockholms kommun,2021-03-18,3100000,2595000,Lägenhet,Bostadsrätt,2 ,41 ,True,3 av 3,False,1943,2740,9358
Wahlbergsgatan 12,Hammarbyhöjden,Stockholms kommun,2021-03-18,3060000,2595000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 2,False,1937,2476,1560
Gondolgatan 6,Skarpnäck,Stockholms kommun,2021-03-17,2095000,2095000,Lägenhet,Bostadsrätt,2 ,57 ,True,1 av 3,True,1983,3366,996
Strahlenbergsgatan 17 2tr,Hammarbyhöjden/Johanneshov,Stockholms kommun,2021-03-17,3010000,2650000,Lägenhet,Bostadsrätt,2 ,47 ,True,2 av 3,False,1936,3235,10080
