Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Sonja Kovalevskys Gata 3,Hagastaden,Stockholms kommun,2022-08-03,4025000,3750000,Lägenhet,Bostadsrätt,2 ,35 ,True,4,True,2017,1750,
Nina einhorns gata 7,Vasastan/Hagastaden,Stockholms kommun,2022-08-02,4900000,4995000,Lägenhet,Bostadsrätt,2 ,"53,5 ",True,7 av 12,True,2018,2571,
Tomtebogatan 13B,Birkastan/ Vasastan,Stockholms kommun,2022-08-01,4050000,4150000,Lägenhet,Bostadsrätt,2 ,39 ,,0 av 4,False,1909,1528,4200
Rådmansgatan 75,Vasastan,Stockholms kommun,2022-07-27,3800000,4000000,Lägenhet,Bostadsrätt,2 ,36 ,False,4 av 6,True,1971,1799,4000
Sonja Kovalevskys Gata 3,Vasastan/Hagastaden,Stockholms kommun,2022-07-27,5225000,4995000,Lägenhet,Bostadsrätt,2 ,61 ,False,2,True,2018,3050,
"Sonja Kovalevskys gata 3, 5 tr",Vasastan,Stockholms kommun,2022-07-27,5150000,4995000,Lägenhet,Bostadsrätt,2 ,48 ,True,5 av 11,True,2017,2565,8880
Birger Jarlsgatan 99B,Vasastan,Stockholms kommun,2022-07-26,5650000,5495000,Lägenhet,Bostadsrätt,2 ,50 ,True,3,True,1918,1390,
Roslagsgatan 55,Vasastan,Stockholms kommun,2022-07-23,5110000,4895000,Lägenhet,Bostadsrätt,2 ,"48,5 ",False,1,False,1929,2664,
Karlbergsvägen 78,Vasastan,Stockholms kommun,2022-07-21,3425000,2950000,Lägenhet,Bostadsrätt,2 ,29 ,False,,,1911,1508,
Vulcanusgatan 4,Vasastan,Stockholms kommun,2022-07-20,4425000,3800000,Lägenhet,Bostadsrätt,2 ,39 ,False,0,True,1928,2198,
