Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Gotlandsgatan 60,Södermalm - Katarina Sofia,Stockholms kommun,2022-07-21,3800000,3950000,Lägenhet,Bostadsrätt,2 ,47 ,False,,,1935,2502,
Krukmakargatan 4,Södermalm,Stockholms kommun,2022-07-15,4020000,3495000,Lägenhet,Bostadsrätt,2 ,34 ,False,3 av 5,True,1896,1686,5044
Ringvägen 79,Södermalm - Skanstull,Stockholms kommun,2022-07-13,3750000,3650000,Lägenhet,Bostadsrätt,2 ,"43,5 ",True,1 av 5,True,1935,1629,6900
Tegelviksgatan 61 - med uteplats,Södermalm - Norra Hammarbyhamnen,Stockholms kommun,2022-07-13,3975000,3975000,Lägenhet,Bostadsrätt,2 ,"53,5 ",False,-1 av 8,True,1998,4363,7800
"Blekingegatan 4, 4tr",Södermalm,Stockholms kommun,2022-07-13,3700000,3600000,Lägenhet,Bostadsrätt,2 ,40 ,True,4 av 5,True,1934,1734,
"Ringvägen 35, 5/6 tr mot gård",Södermalm - Högalid,Stockholms kommun,2022-07-12,4600000,4600000,Lägenhet,Bostadsrätt,2 ,52 ,True,5 av 6,True,1988,2680,4800
"Tjustgatan 2, 4 tr",Stockholm – Södermalm,Stockholms kommun,2022-07-12,3400000,3295000,Lägenhet,Bostadsrätt,2 ,39 ,True,4 av 6,True,1937,3401,6660
"Kristinehovsgatan 5A, 4 tr",Hornstull,Stockholms kommun,2022-07-11,2750000,2900000,Lägenhet,Bostadsrätt,2 ,30 ,,4 av 5,True,1941,2050,7519
Rutger Fuchsgatan 9,Södermalm,Stockholms kommun,2022-07-11,2750000,2750000,Lägenhet,Bostadsrätt,2 ,30 ,False,2 av 6,True,1949,1861,4320
"Flintbacken 8, 9 tr",Högalid,Stockholms kommun,2022-07-10,3030000,2995000,Lägenhet,Bostadsrätt,2 ,36 ,,9 av 12,True,1964,1682,9000
"Tjustgatan 4, 4 tr",Södermalm,Stockholms kommun,2022-07-10,3200000,3200000,Lägenhet,Bostadsrätt,2 ,32 ,True,4 av 5,True,1936,2791,7209
"Folkungagatan 65, 3tr",Södermalm - Katarina Sofia,Stockholms kommun,2022-07-08,4700000,4950000,Lägenhet,Bostadsrätt,2 ,54 ,True,3,True,1929,2841,
Bergsundsgatan 4,Hornstull,Stockholms kommun,2022-07-07,3230000,3100000,Lägenhet,Bostadsrätt,2 ,36 ,,2 av 6,True,1943,1379,
Gotlandsgatan 60,Södermalm - SoFo,Stockholms kommun,2022-07-07,3825000,4050000,Lägenhet,Bostadsrätt,2 ,46 ,True,2 av 6,True,1935,2449,4700
Bergsundsgatan 21,Södermalm,Stockholms kommun,2022-07-06,3850000,3695000,Lägenhet,Bostadsrätt,2 ,43 ,False,1 av 6,True,1931,2287,8000
Tantogatan 71,Södermalm - Tanto,Stockholms kommun,2022-07-06,3540000,3500000,Lägenhet,Bostadsrätt,2 ,"42,5 ",,,,,2033,6900
"Katarina bangata 25, 4 tr",Södermalm - Nytorget,Stockholms kommun,2022-07-05,4500000,4295000,Lägenhet,Bostadsrätt,2 ,44 ,False,4 av 5,True,1930,2080,
"Bergsunds Strand 15, 3 tr",Södermalm,Stockholms kommun,2022-07-05,4500000,3950000,Lägenhet,Bostadsrätt,2 ,42 ,True,3,True,1939,1741,
Drakenbergsgatan 8/Hornsgatan 107,Högalid,Stockholms kommun,2022-07-04,4750000,4850000,Lägenhet,Bostadsrätt,2 ,64 ,True,3 av 6,True,1967,2660,
"Älvsborgsgatan 1, 1,5tr",Södermalm - Skanstull,Stockholms kommun,2022-07-01,3495000,3495000,Lägenhet,Bostadsrätt,2 ,39 ,False,1,True,,2557,7080
