Adress,Område,Region,Avstånd till T-centralen,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Hiss,Byggår,Avgift/månad,Driftskostnad,Länk
Sareksvägen 11,Bromma - Traneberg,Stockholms kommun,1474,2022-08-24,3310000,2995000,Lägenhet,Bostadsrätt,2 ,47 ,1,1,0,1937,2279,4200,https://www.hemnet.se/salda/lagenhet-2rum-bromma-traneberg-stockholms-kommun-sareksvagen-11-2805460460154335322
Mariehällsvägen 8,Bromma,Stockholms kommun,1302,2022-08-24,2900000,2995000,Lägenhet,Bostadsrätt,2 ,49 ,,0,1,,3339,,https://www.hemnet.se/salda/lagenhet-2rum-bromma-stockholms-kommun-mariehallsvagen-8-8564805006453626190
Registervägen 32,Abrahamsberg,Stockholms kommun,1204,2022-08-23,3000000,2595000,Lägenhet,Bostadsrätt,2 ,55 ,1,1,0,1945,3007,8100,https://www.hemnet.se/salda/lagenhet-2rum-abrahamsberg-stockholms-kommun-registervagen-32-6227048262800788969
Snörmakarvägen 49,Bromma - Åkeshov,Stockholms kommun,1420,2022-08-23,3125000,2950000,Lägenhet,Bostadsrätt,2 ,55 ,1,0,0,1944,3754,4440,https://www.hemnet.se/salda/lagenhet-2rum-bromma-akeshov-stockholms-kommun-snormakarvagen-49-6963330248804337820
Klas Klättermus Gata 7,Annedal,Stockholms kommun,1843,2022-08-22,3495000,3495000,Lägenhet,Bostadsrätt,2 ,64 ,0,,,2012,3404,8916,https://www.hemnet.se/salda/lagenhet-2rum-annedal-stockholms-kommun-klas-klattermus-gata-7-5206312246384570751
Tomtebobarnens gata 11,Annedal,Stockholms kommun,1923,2022-08-21,2500000,2595000,Lägenhet,Bostadsrätt,2 ,43.5 ,1,0,1,2017,2759,,https://www.hemnet.se/salda/lagenhet-2rum-annedal-stockholms-kommun-tomtebobarnens-gata-11-8012702040937990930
Kamomillagatan 5,Bromma - Annedal,Stockholms kommun,2029,2022-08-19,3330000,3195000,Lägenhet,Bostadsrätt,2 ,64 ,1,1,1,2015,3783,4200,https://www.hemnet.se/salda/lagenhet-2rum-bromma-annedal-stockholms-kommun-kamomillagatan-5-8975168530282348730
Björnsonsgatan 140,Bromma - Blackeberg,Stockholms kommun,1686,2022-08-19,2625000,2395000,Lägenhet,Bostadsrätt,2 ,57 ,1,0,1,1952,3000,4800,https://www.hemnet.se/salda/lagenhet-2rum-bromma-blackeberg-stockholms-kommun-bjornsonsgatan-140-8241351948590980371
Åkerhielmsgatan 24,Ulvsunda,Stockholms kommun,1386,2022-08-19,3900000,3795000,Lägenhet,Bostadsrätt,2 ,65 ,0,1,1,1929,4162,13587,https://www.hemnet.se/salda/lagenhet-2rum-ulvsunda-stockholms-kommun-akerhielmsgatan-24-8012741245980276181
Tallbacksvägen 24,Ulvsunda,Stockholms kommun,2004,2022-08-19,2750000,2495000,Lägenhet,Bostadsrätt,2 ,49.5 ,,0,0,,3193,,https://www.hemnet.se/salda/lagenhet-2rum-ulvsunda-stockholms-kommun-tallbacksvagen-24-1121716675678228855
Snörmakarvägen 11,Bromma - Åkeshov,Stockholms kommun,1568,2022-08-18,2400000,2095000,Lägenhet,Bostadsrätt,2 ,42 ,0,0,0,1942,3450,3600,https://www.hemnet.se/salda/lagenhet-2rum-bromma-akeshov-stockholms-kommun-snormakarvagen-11-7089988969688728198
Klädesvägen 40,Bromma,Stockholms kommun,1224,2022-08-18,2880000,2495000,Lägenhet,Bostadsrätt,2 ,43 ,1,1,1,2017,2437,,https://www.hemnet.se/salda/lagenhet-2rum-bromma-stockholms-kommun-kladesvagen-40-6509730567930870714
Dukvägen 4,Riksby,Stockholms kommun,1236,2022-08-17,3000000,2695000,Lägenhet,Bostadsrätt,2 ,51 ,1,0,0,1942,2969,6188,"https://www.hemnet.se/salda/lagenhet-2rum-riksby-stockholms-kommun-dukvagen-4,-1tr-9091411730130387316"
